POA_CODE_2016,Total_Persons_Persons,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size
POA3102,6635,40,2500,2149,2.8
POA3103,15343,43,2500,1731,2.6
POA3104,20406,41,2500,1996,3
POA3105,10873,45,2000,1501,2.7
POA3106,16618,45,2167,1916,2.9
POA3107,13552,44,2062,1591,2.7
POA3108,20826,42,1992,1366,2.5
POA3109,28360,41,2000,1504,2.8
POA3111,12347,44,2100,1783,2.8
POA3113,8457,42,2167,2252,3.1
POA3114,3822,43,2400,2660,3.3
POA3115,3796,43,2000,2452,3.2
POA3116,9872,39,1820,1728,2.8
POA3121,30499,33,2200,2015,2.1
POA3122,23511,32,2167,1813,2.2
POA3123,14321,34,2358,1976,2.4
POA3124,22094,41,2500,2195,2.7
POA3125,15019,30,2000,1209,2.6
POA3126,8056,44,2723,2440,2.8
POA3127,18445,40,2500,2192,2.7
POA3128,19828,33,2000,1200,2.5
POA3129,17376,38,2000,1541,2.7
POA3130,32174,40,2000,1636,2.7
POA3131,22504,39,1950,1428,2.6
POA3132,16148,38,2000,1650,2.5
POA3133,22125,42,2000,1664,2.8
POA3134,32781,38,1900,1628,2.7
POA3135,19956,39,1863,1606,2.6
POA3136,44369,38,1770,1488,2.6
POA3137,13871,39,1712,1433,2.6
POA3138,21967,36,1800,1594,2.8
POA3139,13718,38,1650,1464,2.8
POA3140,16531,39,1800,1448,2.6
POA3141,25147,32,2000,1813,1.8
POA3142,12909,45,2500,2311,2.2
POA3143,9054,37,2350,1990,2.1
POA3144,10886,41,3000,2306,2.4
POA3145,23295,35,2400,1884,2.6
POA3146,25255,37,2500,2195,2.6
POA3147,14637,38,2167,1844,2.7
POA3148,8641,33,2000,1531,2.6
POA3149,33611,41,2000,1643,2.7
POA3150,60079,42,2000,1591,2.9
POA3151,10273,40,2000,1373,2.7
POA3152,33092,42,1850,1602,2.8
POA3153,20554,37,1672,1351,2.5
POA3154,4419,39,1733,1680,2.7
POA3155,22195,38,1690,1318,2.4
POA3156,37464,39,1733,1603,2.7
POA3158,6652,40,1690,1773,2.7
POA3159,2648,40,1733,1849,2.9
POA3160,9014,39,1700,1688,2.8
POA3161,15269,37,2167,1990,2.5
POA3162,17448,41,2300,1911,2.6
POA3163,32353,34,2000,1524,2.4
POA3165,27635,40,2117,1735,2.7
POA3166,23757,35,2000,1584,2.7
POA3167,9261,40,2000,1476,2.7
POA3168,20197,27,1800,1069,2.7
POA3169,20122,36,1732,1304,2.8
POA3170,19368,39,1950,1572,2.8
POA3171,21714,34,1500,1079,3.1
POA3172,23089,39,1733,1370,3
POA3173,25785,35,2000,1585,3.2
POA3174,38461,35,1500,1127,2.7
POA3175,53297,34,1517,1074,2.8
POA3177,11306,34,1350,973,2.8
POA3178,33672,38,1800,1892,3
POA3179,6022,38,1800,1615,2.9
POA3180,7462,39,1733,1478,2.7
POA3181,20260,33,2167,1816,1.9
POA3182,23391,34,2000,1623,1.8
POA3183,18497,33,2000,1680,2.2
POA3184,15543,35,2167,1892,2
POA3185,12929,36,2167,1830,2.3
POA3186,23253,45,2913,2410,2.5
POA3187,15998,44,2500,2065,2.6
POA3188,18083,42,2500,2010,2.6
POA3189,5895,39,2000,1474,2.5
POA3190,10454,39,2100,1613,2.4
POA3191,10241,44,2500,2124,2.5
POA3192,22291,40,2000,1502,2.5
POA3193,19508,46,2500,2179,2.7
POA3194,12965,41,2000,1521,2.3
POA3195,35869,40,2000,1819,2.7
POA3196,25327,40,1845,1456,2.4
POA3197,11548,43,1950,1547,2.4
POA3198,16463,40,1600,1208,2.2
POA3199,54298,41,1600,1226,2.4
POA3200,5762,39,1205,888,2.3
POA3201,20711,36,1517,1339,2.6
POA3202,2907,39,2000,1816,2.9
POA3204,30635,38,2167,1801,2.7
POA3205,10920,36,2167,1842,2
POA3206,10359,43,3000,2301,2.3
POA3207,16175,40,2500,2190,2.1
POA3211,1322,42,1975,1678,2.8
POA3212,16652,37,1690,1557,2.8
POA3213,4033,40,1733,1602,3
POA3214,23964,36,1127,828,2.4
POA3215,20616,42,1421,1141,2.4
POA3216,56284,38,1600,1370,2.5
POA3217,6607,30,1820,1906,2.9
POA3218,13437,37,1555,1286,2.2
POA3219,19715,42,1300,991,2.2
POA3220,16353,40,1816,1573,2.3
POA3221,749,42,1975,2133,3
POA3222,14960,45,1517,1199,2.5
POA3223,7397,58,1517,896,2.1
POA3224,14187,40,1582,1334,2.6
POA3225,4058,59,1733,1206,2.1
POA3226,14165,42,1733,1432,2.5
POA3227,4819,44,1954,1744,2.6
POA3228,17939,39,2000,1763,2.7
POA3230,2545,51,1624,1284,2.2
POA3231,1256,52,1613,1228,2.2
POA3232,1114,53,2000,1257,2.1
POA3233,2030,52,1365,933,2
POA3234,181,52,1150,1053,1.8
POA3235,381,45,1430,1305,2.4
POA3236,230,52,1538,875,2
POA3237,214,49,1000,814,2.1
POA3238,218,51,1083,850,2
POA3239,424,47,1083,905,2.3
POA3240,2021,41,1772,1766,2.9
POA3241,2566,46,1318,1129,2.4
POA3242,828,44,1490,1181,2.4
POA3243,358,47,1635,1100,2.4
POA3249,3199,46,1404,1152,2.5
POA3250,12250,42,1270,1055,2.3
POA3251,522,47,1163,1013,2.3
POA3254,310,35,1105,1235,2.8
POA3260,4766,48,1083,993,2.3
POA3264,2288,47,1045,1012,2.3
POA3265,2621,41,1227,1303,2.7
POA3266,3067,44,1209,1130,2.5
POA3267,248,43,1551,1166,2.5
POA3268,2607,43,1083,1147,2.5
POA3269,730,38,1517,1364,2.5
POA3270,247,50,1250,943,2
POA3271,196,46,867,1050,2.4
POA3272,1539,48,891,857,2.2
POA3273,143,48,800,1208,2.8
POA3274,246,43,964,1416,2.3
POA3275,425,36,1853,1611,2.8
POA3276,482,45,1100,1418,2.6
POA3277,1926,38,1473,1465,2.7
POA3278,313,39,1517,1261,2.5
POA3279,290,37,1416,1375,3
POA3280,31569,40,1430,1162,2.4
POA3281,1699,39,1602,1640,2.9
POA3282,2362,41,1333,1291,2.6
POA3283,1361,43,1300,1377,2.6
POA3284,3439,49,1560,1128,2.3
POA3285,1207,47,1300,1236,2.5
POA3286,566,48,867,987,2.4
POA3287,433,40,975,1375,2.8
POA3289,756,50,758,1100,2.4
POA3292,190,60,927,956,1.8
POA3293,301,48,650,956,2.2
POA3294,959,45,1000,1118,2.4
POA3300,10088,45,1083,1038,2.2
POA3301,1211,45,1300,1367,2.6
POA3302,371,47,676,1275,2.4
POA3303,336,42,1083,1237,2.5
POA3304,2725,48,993,1009,2.2
POA3305,12816,45,1213,1092,2.3
POA3309,124,48,650,949,2
POA3310,276,53,500,833,1.9
POA3311,1696,54,800,758,2
POA3312,1031,47,750,1003,2.4
POA3314,525,44,1156,1092,2.5
POA3315,1624,50,650,895,2.2
POA3317,200,42,1160,972,2.3
POA3318,1267,50,723,940,2.1
POA3319,344,52,650,1062,2.1
POA3321,1518,39,1733,1678,2.8
POA3322,175,50,647,774,2.2
POA3323,92,54,0,1145,2.1
POA3324,529,52,666,795,2.2
POA3325,479,52,867,830,2.2
POA3328,1721,39,1733,1621,2.9
POA3329,285,39,1300,1078,2.6
POA3330,217,44,910,900,2.3
POA3331,5997,35,1733,1651,3
POA3332,1014,38,1517,1447,3
POA3333,825,43,1300,1266,2.6
POA3334,565,46,1517,1062,2.4
POA3335,5856,31,2000,1728,2.9
POA3337,36454,33,1465,1296,2.8
POA3338,23412,33,1517,1337,2.8
POA3340,21121,38,1600,1426,2.7
POA3341,1663,42,1658,1613,2.8
POA3342,3441,44,1553,1282,2.5
POA3345,1151,44,1517,1411,2.7
POA3350,59145,37,1408,1238,2.4
POA3351,8168,42,1387,1249,2.7
POA3352,15996,41,1500,1439,2.8
POA3355,13014,42,1144,887,2.2
POA3356,16321,36,1300,960,2.3
POA3357,3714,41,1517,1573,2.7
POA3360,765,50,1083,971,2.2
POA3361,680,50,758,779,2.3
POA3363,3479,47,1200,969,2.3
POA3364,2149,48,1300,1129,2.4
POA3370,1783,51,1083,830,2.2
POA3371,992,53,900,765,2.2
POA3373,2292,51,1083,842,2.2
POA3374,400,48,1083,1075,2.3
POA3375,208,43,988,924,2.4
POA3377,9416,45,1066,1011,2.3
POA3378,146,39,1500,1395,2.8
POA3379,803,50,507,955,2.1
POA3380,6032,47,975,928,2.2
POA3381,1212,48,1300,1103,2.3
POA3384,547,53,864,863,2.1
POA3385,517,50,926,1053,2.3
POA3387,312,48,932,990,2.2
POA3388,561,51,650,956,2.3
POA3390,910,47,780,915,2.3
POA3391,171,48,477,966,2.5
POA3392,580,57,593,736,1.9
POA3393,2685,49,757,894,2.2
POA3395,364,53,290,913,2
POA3396,739,53,650,971,2.1
POA3400,14543,41,1192,1058,2.2
POA3401,4421,43,1365,1338,2.7
POA3407,420,49,625,1021,2.3
POA3409,932,49,867,1077,2.3
POA3412,299,50,440,767,2.1
POA3413,215,44,860,1138,2.4
POA3414,1826,52,806,887,2.1
POA3415,40,49,763,1124,2.2
POA3418,2772,47,850,1004,2.3
POA3419,803,49,650,1027,2.1
POA3420,279,37,183,1112,2.5
POA3423,477,54,433,685,2
POA3424,769,52,650,831,2.1
POA3427,2763,37,1470,1440,2.5
POA3428,675,46,1794,1812,3
POA3429,36297,37,1600,1573,2.7
POA3430,320,45,2000,1375,2.7
POA3431,3947,42,1800,1834,2.9
POA3432,197,47,2167,2062,2.7
POA3433,218,41,1733,1763,3
POA3434,5069,41,1710,1622,2.8
POA3435,2879,44,1602,1430,2.6
POA3437,10439,40,2000,1883,2.8
POA3438,2387,39,1842,1810,2.9
POA3440,2040,43,1904,1848,2.8
POA3441,1335,46,2167,2068,2.6
POA3442,7463,43,1733,1697,2.6
POA3444,9198,46,1560,1240,2.4
POA3446,1025,45,1300,1231,2.4
POA3447,448,47,1200,1075,2.4
POA3448,876,51,1300,1142,2.3
POA3450,6834,50,1200,907,2.1
POA3451,5656,44,1300,1139,2.4
POA3453,1723,47,1452,1316,2.6
POA3458,1945,52,1345,1096,2.2
POA3460,2567,53,1377,928,2
POA3461,4149,49,1300,1057,2.3
POA3462,1173,50,1148,919,2.2
POA3463,2451,55,1213,875,2
POA3464,1115,44,1083,1008,2.5
POA3465,9776,50,1000,781,2.2
POA3467,1193,52,894,775,2.2
POA3468,286,53,867,850,2.2
POA3469,280,55,758,778,2.1
POA3472,1480,55,811,674,2
POA3475,345,57,700,675,2
POA3477,829,52,845,872,2.3
POA3478,2456,53,867,816,2
POA3480,1856,52,780,895,2.2
POA3482,164,52,325,725,2.2
POA3483,889,47,650,938,2.3
POA3485,302,53,482,869,2.2
POA3487,93,39,525,1031,2.4
POA3488,115,48,433,849,2.3
POA3489,57,56,0,762,2.1
POA3490,1293,53,800,874,2.1
POA3491,133,48,0,820,2.2
POA3494,663,39,1053,1069,2.4
POA3496,6224,42,1083,1078,2.5
POA3498,5325,42,1300,1228,2.7
POA3500,32738,39,1231,1023,2.4
POA3501,1941,40,1528,1590,2.9
POA3505,4832,43,1083,1056,2.6
POA3506,36,49,0,824,1.9
POA3507,158,50,575,915,2.3
POA3509,233,50,676,1100,2.3
POA3512,371,50,625,1042,2.2
POA3515,1944,33,1600,1468,2.8
POA3516,694,46,1083,1120,2.3
POA3517,1421,51,800,808,2.1
POA3518,1306,53,650,727,2
POA3520,180,58,336,575,2
POA3521,660,42,1509,1286,2.7
POA3522,339,50,1207,1100,2.6
POA3523,3620,55,1128,809,2.1
POA3525,1301,54,800,772,2.1
POA3527,785,55,650,815,2
POA3529,121,41,433,875,2.8
POA3530,126,54,596,985,2
POA3531,191,48,477,866,2.5
POA3533,778,51,630,808,2.2
POA3537,1043,53,758,940,2.2
POA3540,291,55,585,720,2
POA3542,157,52,477,860,2.6
POA3544,250,48,650,833,2.2
POA3546,402,51,650,1080,2.2
POA3549,3522,37,1083,1107,2.7
POA3550,40339,39,1300,1107,2.3
POA3551,29565,36,1603,1637,2.9
POA3555,19687,40,1300,1060,2.3
POA3556,13085,38,1257,964,2.4
POA3557,785,40,1300,1325,2.6
POA3558,913,51,953,875,2.2
POA3559,542,47,992,943,2.5
POA3561,4436,48,1172,1038,2.4
POA3562,279,46,1454,1269,2.5
POA3563,808,45,977,987,2.5
POA3564,15944,44,1400,1168,2.4
POA3565,109,43,1372,1178,2.7
POA3566,551,47,871,966,2.3
POA3567,655,49,870,975,2.4
POA3568,2945,50,1000,958,2.2
POA3570,753,46,1049,1125,2.6
POA3571,318,44,867,860,2.5
POA3572,151,40,921,1047,2.5
POA3573,333,43,542,966,2.4
POA3575,811,47,737,926,2.2
POA3576,74,43,1040,939,1.7
POA3579,5365,48,977,911,2.3
POA3580,991,52,986,791,2.1
POA3581,168,48,1279,833,2.6
POA3583,209,37,1083,1031,2.9
POA3584,1138,43,1000,1103,2.5
POA3585,11206,39,1300,1099,2.3
POA3586,829,41,1500,1385,2.8
POA3588,356,42,867,1066,2.7
POA3589,352,42,1177,1289,2.8
POA3590,336,39,1083,1125,2.9
POA3591,159,46,986,1156,2.3
POA3594,530,47,964,1042,2.3
POA3595,663,49,650,761,2.2
POA3596,94,45,963,1025,2.3
POA3597,415,47,756,1058,2.2
POA3599,132,49,658,1062,2.3
POA3607,131,43,1400,1166,2.3
POA3608,2418,52,1300,977,2.2
POA3610,1712,45,1235,938,2.4
POA3612,1709,54,1000,832,2.1
POA3614,882,40,1521,1654,2.8
POA3616,5357,43,1365,1196,2.4
POA3617,158,47,1300,966,2.5
POA3618,679,43,1042,1026,2.5
POA3620,8240,45,1300,1045,2.4
POA3621,2368,42,1127,1076,2.5
POA3622,457,45,1300,1312,2.5
POA3623,899,52,1000,918,2.3
POA3624,561,43,919,1032,2.4
POA3629,9127,41,1200,1022,2.3
POA3630,31272,37,1300,1068,2.5
POA3631,11612,39,1603,1624,2.8
POA3633,605,42,1517,1445,3
POA3634,1799,42,1300,1367,2.7
POA3635,537,44,1083,1272,2.3
POA3636,5241,46,1100,987,2.3
POA3637,594,39,1083,1196,2.9
POA3638,2074,45,990,995,2.3
POA3639,526,54,867,829,2.2
POA3640,996,37,1287,1246,2.8
POA3641,1238,42,1200,1130,2.6
POA3644,9227,45,1300,1014,2.4
POA3646,584,44,1083,1221,2.5
POA3647,44,20,0,0,0
POA3649,434,45,900,944,2.5
POA3658,6222,41,1302,1243,2.6
POA3659,736,46,1517,1336,2.5
POA3660,7574,46,1284,1024,2.3
POA3662,1078,25,0,2035,3.2
POA3663,182,38,867,1274,2.6
POA3664,1070,45,1300,1197,2.4
POA3665,359,51,867,1137,2.4
POA3666,4698,53,1092,912,2.1
POA3669,1337,55,1133,923,2.1
POA3670,572,51,1083,1129,2.3
POA3672,10330,49,1170,905,2.1
POA3673,1732,50,1400,1099,2.5
POA3675,1805,47,1300,1302,2.5
POA3677,18102,44,1300,1009,2.2
POA3678,6356,47,1463,1314,2.6
POA3682,613,44,1300,1257,2.6
POA3683,1757,47,1300,1201,2.4
POA3685,2722,47,1272,1154,2.3
POA3687,1098,44,1357,1142,2.4
POA3688,1236,41,1387,1534,2.6
POA3690,33518,37,1387,1206,2.4
POA3691,9704,38,1634,1631,2.8
POA3694,90,23,0,0,0
POA3695,471,45,1430,1699,2.8
POA3697,574,52,1460,1081,2.4
POA3698,862,52,1224,1101,2.2
POA3699,1124,43,953,900,2
POA3700,1318,48,1083,1103,2.3
POA3701,1078,51,975,972,2.2
POA3704,20,52,1095,1562,1.7
POA3705,261,48,1000,1174,2.3
POA3707,1836,51,867,902,2.2
POA3708,60,58,2275,933,1.8
POA3709,290,59,726,933,2
POA3711,492,53,1517,1083,2.3
POA3712,353,55,1300,751,1.9
POA3713,1024,57,1020,791,1.9
POA3714,3509,51,1300,989,2.2
POA3715,307,56,1400,1145,2.2
POA3717,2650,52,1387,1016,2.2
POA3718,72,56,2156,1125,1.7
POA3719,367,55,1211,1125,2.2
POA3720,570,52,1300,937,2.2
POA3722,5018,45,1411,1096,2.3
POA3723,3005,48,1252,1003,2.1
POA3725,629,49,1300,1284,2.5
POA3726,401,51,867,916,2.3
POA3727,309,49,867,1011,2.5
POA3728,636,50,1083,1011,2.3
POA3730,8833,49,1387,994,2.3
POA3732,588,46,1196,1005,2.3
POA3733,215,49,933,900,2.3
POA3735,602,48,1500,1150,2.4
POA3737,4303,50,1300,944,2.2
POA3738,219,46,1625,982,2.3
POA3739,212,46,1400,1075,2.1
POA3740,1072,47,1300,1125,2.5
POA3741,3100,48,1393,970,2.2
POA3744,453,46,1300,1095,2.4
POA3746,385,51,1300,949,2.3
POA3747,4625,49,1428,1170,2.3
POA3749,1888,48,1560,1383,2.5
POA3750,9060,30,2000,1612,3.2
POA3751,277,50,2080,1392,2.9
POA3752,24060,34,1852,1739,3.1
POA3753,2330,32,1997,1940,3.2
POA3754,37757,31,1950,1742,3
POA3755,252,47,1950,1312,2.7
POA3756,11926,34,1733,1594,2.9
POA3757,8959,40,1733,1452,2.8
POA3758,2181,39,1733,1752,3
POA3759,1062,45,1950,2012,2.9
POA3760,369,45,1950,1854,2.9
POA3761,1226,42,1950,1790,2.8
POA3762,131,50,1425,1468,2.6
POA3763,1536,41,1500,1353,2.5
POA3764,9165,40,1585,1374,2.6
POA3765,6761,41,1761,1707,2.8
POA3766,1239,42,1733,1553,2.5
POA3767,1251,46,1989,1603,2.5
POA3770,3218,40,1649,1646,2.9
POA3775,3861,41,1950,1543,2.7
POA3777,10751,44,1517,1226,2.5
POA3778,205,47,1088,1149,2.2
POA3779,394,58,1127,922,2
POA3781,4477,36,1621,1573,2.8
POA3782,7827,42,1733,1701,2.8
POA3783,2350,40,1733,1618,2.9
POA3785,77,44,1755,2187,2.1
POA3786,1518,44,1879,1971,2.7
POA3787,1062,43,1794,2005,2.7
POA3788,1738,44,1800,1518,2.5
POA3789,265,48,2045,1547,2.4
POA3791,1437,44,1800,1734,2.7
POA3792,1065,44,1733,1583,2.8
POA3793,3577,42,1608,1377,2.7
POA3795,1246,42,2000,1698,3
POA3796,9702,37,1733,1655,2.9
POA3797,3476,44,1485,1097,2.5
POA3799,5798,44,1300,956,2.3
POA3800,2211,20,0,1875,1.3
POA3802,24298,37,1625,1454,3
POA3803,10855,35,1560,1301,3
POA3804,8094,41,2000,2165,3.4
POA3805,56933,34,1700,1624,3.2
POA3806,48520,36,1842,1752,3
POA3807,7097,39,1983,1928,3.1
POA3808,3033,41,2100,2144,3.1
POA3809,7210,30,1900,1864,2.9
POA3810,47894,32,1700,1383,2.8
POA3812,2312,42,1986,1703,2.9
POA3813,886,45,1550,1429,2.9
POA3814,2255,40,1733,1403,2.8
POA3815,3022,41,1733,1475,2.8
POA3816,2721,37,1550,1261,2.6
POA3818,14167,41,1500,1159,2.5
POA3820,15952,42,1447,1196,2.4
POA3821,2917,44,1612,1397,2.7
POA3822,985,40,1500,1363,2.9
POA3823,1838,45,1309,1189,2.4
POA3824,5004,42,1387,1244,2.5
POA3825,20281,44,1083,910,2.2
POA3831,1702,48,1517,1259,2.5
POA3832,247,55,1176,1031,2.2
POA3833,307,54,950,807,1.9
POA3835,471,42,1040,1133,2.7
POA3840,16476,43,1066,906,2.2
POA3842,4783,37,975,964,2.4
POA3844,28980,38,1400,1321,2.4
POA3847,2191,42,1300,1223,2.4
POA3850,14779,40,1300,1168,2.3
POA3851,5687,45,1300,988,2.3
POA3852,93,25,1625,1374,2.3
POA3854,1397,40,1517,1682,2.8
POA3856,989,35,1419,1609,2.7
POA3857,364,44,1187,1516,2.6
POA3858,3025,44,1083,986,2.4
POA3859,834,42,1200,1293,2.5
POA3860,7172,43,1213,1117,2.4
POA3862,3156,43,1317,1159,2.5
POA3864,217,43,1300,1174,2.4
POA3865,449,46,1296,1111,2.4
POA3869,1626,43,1300,1369,2.5
POA3870,1271,50,1114,1089,2.3
POA3871,2902,47,1289,1093,2.4
POA3873,321,46,1300,1403,2.4
POA3874,558,55,1083,891,2.1
POA3875,18625,45,1300,1026,2.3
POA3878,1094,56,1300,1111,2.3
POA3880,4032,60,1100,838,2
POA3882,1095,51,1300,1073,2.4
POA3885,1871,47,1192,947,2.3
POA3886,389,46,1300,892,2.4
POA3887,342,49,979,762,2.2
POA3888,3426,53,1000,767,2.1
POA3889,184,58,970,545,1.6
POA3890,324,51,650,749,2
POA3891,106,62,1400,774,1.5
POA3892,1063,58,1083,774,2
POA3893,23,55,0,1374,0
POA3895,193,52,867,671,1.7
POA3896,406,48,975,1011,2.2
POA3898,790,44,1100,1025,2.3
POA3900,149,59,650,756,1.9
POA3902,408,53,1300,1008,2.4
POA3903,751,55,1300,900,2.1
POA3904,1449,58,1300,1001,2.1
POA3909,7901,52,1300,869,2.2
POA3910,22588,37,1700,1579,2.7
POA3911,3414,40,1528,1492,2.7
POA3912,15157,40,1691,1485,2.8
POA3913,3338,41,1571,1523,2.7
POA3915,9960,41,1600,973,2.3
POA3916,955,56,1733,1708,2.4
POA3918,3705,41,1700,1449,2.7
POA3919,3183,38,1449,1167,2.5
POA3920,1040,22,0,1952,2.7
POA3921,119,56,493,477,1.9
POA3922,7738,51,1400,903,2.2
POA3923,519,58,1509,924,2
POA3925,3384,46,1425,1100,2.3
POA3926,3242,48,1733,1533,2.6
POA3927,1667,52,1752,1468,2.3
POA3928,416,52,2800,1724,2.3
POA3929,905,58,2500,1632,2.2
POA3930,17888,44,2200,2030,2.8
POA3931,23989,47,1733,1203,2.3
POA3933,1098,45,2167,2028,3
POA3934,18548,43,2000,1707,2.7
POA3936,11024,50,1733,1157,2.3
POA3937,1524,50,1950,1774,2.6
POA3938,2823,54,1733,1241,2.3
POA3939,14524,49,1558,973,2.2
POA3940,4930,59,1400,786,1.9
POA3941,12172,46,1560,1067,2.3
POA3942,2313,57,1800,1060,2
POA3943,1592,65,1733,1136,1.9
POA3944,510,67,2000,1863,1.8
POA3945,978,50,1500,1226,2.3
POA3946,209,52,1517,1137,2.3
POA3950,4800,44,1300,948,2.4
POA3951,1003,47,1300,1088,2.5
POA3953,7855,43,1430,1131,2.4
POA3954,404,46,1603,1329,2.7
POA3956,2821,51,1127,881,2.2
POA3957,281,41,1187,1402,2.9
POA3958,272,48,1509,1375,2.6
POA3959,1151,49,1114,1029,2.3
POA3960,2474,56,1247,865,2.1
POA3962,914,52,1088,844,2
POA3964,134,53,867,819,2.2
POA3965,209,61,840,830,1.8
POA3966,511,49,1300,866,2.2
POA3967,125,49,1417,939,2.1
POA3971,4018,52,1083,885,2.1
POA3975,15248,32,2000,1947,3.5
POA3976,25530,33,1508,1307,3.2
POA3977,93326,32,1768,1560,3
POA3978,10648,30,2000,1864,3.1
POA3979,321,43,1733,1402,2.9
POA3980,3350,39,1723,1501,2.7
POA3981,4898,37,1733,1379,2.8
POA3984,5209,49,1300,943,2.2
POA3987,1527,41,1517,1404,2.9
POA3988,999,45,1300,1184,2.6
POA3990,106,51,1467,1075,2.2
POA3991,359,50,1355,811,2.4
POA3992,967,42,1419,1052,2.3
POA3995,10173,48,1300,840,2.2
POA3996,5538,52,1723,1042,2.2
POA4000,16552,30,2000,1728,2.1
POA4005,17876,36,2200,2054,1.9
POA4006,14530,31,2000,1618,1.9
POA4007,12769,38,2300,1918,2.2
POA4008,368,42,1625,1199,2.1
POA4009,0,0,0,0,0
POA4010,2296,32,2000,1724,2
POA4011,15180,37,2167,1828,2.3
POA4012,21828,34,2000,1726,2.3
POA4013,4568,34,2033,1672,2.4
POA4014,11913,37,2000,1861,2.7
POA4017,36869,40,1860,1591,2.6
POA4018,12153,36,1733,1408,2.4
POA4019,20106,44,1651,1138,2.2
POA4020,22043,49,1733,1125,2.2
POA4021,9790,40,1625,1123,2.5
POA4022,7165,41,1647,1157,2.6
POA4025,368,35,1300,1093,1.7
POA4029,81,35,0,0,0
POA4030,16530,32,2200,1834,2.4
POA4031,13588,34,2167,1796,2.4
POA4032,15777,37,1900,1369,2.3
POA4034,44463,38,1950,1503,2.5
POA4035,24209,41,2000,2100,2.9
POA4036,6502,36,1733,1584,2.8
POA4037,7973,36,2129,2368,3.2
POA4051,27531,33,2167,1895,2.5
POA4053,43986,36,2000,1759,2.5
POA4054,13620,38,1950,1606,2.6
POA4055,20561,37,2000,2096,3
POA4059,13495,29,2176,1634,2.4
POA4060,13039,36,2464,2289,2.8
POA4061,16692,41,2167,2163,2.9
POA4064,10837,32,2400,2190,2.4
POA4065,9500,37,2600,2538,2.8
POA4066,16698,29,2100,1779,2.3
POA4067,10424,25,2167,1385,2.6
POA4068,23617,31,2037,1730,2.5
POA4069,33627,42,2300,2403,2.9
POA4070,11613,37,2110,2128,3
POA4072,2152,19,0,1499,1
POA4073,9138,39,2063,2254,2.9
POA4074,23735,38,2000,1958,2.8
POA4075,23352,36,2146,1946,2.7
POA4076,8107,33,1517,1271,2.8
POA4077,30758,32,1625,1085,2.9
POA4078,25806,35,1733,1639,2.9
POA4101,22861,32,2167,1728,2.2
POA4102,7660,30,2100,1489,2.3
POA4103,14316,31,2000,1613,2.4
POA4104,6535,36,2123,1665,2.3
POA4105,13321,35,1996,1676,2.4
POA4106,1595,33,1603,1375,2.5
POA4107,6290,35,2000,1628,2.7
POA4108,6028,32,1660,1275,2.7
POA4109,37607,33,1800,1388,3
POA4110,10918,33,1733,1370,2.9
POA4111,1183,26,1831,1489,2.4
POA4112,8108,32,2000,1835,3.3
POA4113,29913,33,1733,1530,3
POA4114,29064,31,1300,960,2.9
POA4115,19308,35,1915,1784,3
POA4116,25936,32,1950,1707,3.2
POA4117,1365,31,1928,1733,3.2
POA4118,30400,33,1733,1557,3
POA4119,6341,33,1900,1648,3
POA4120,8936,32,2000,1671,2.2
POA4121,25264,36,2167,2031,2.7
POA4122,43850,35,2000,1594,2.7
POA4123,18491,35,1863,1709,2.8
POA4124,19672,35,1850,1671,3.1
POA4125,7142,45,1900,1303,2.8
POA4127,26373,36,1694,1418,2.8
POA4128,16506,37,1920,1865,2.9
POA4129,6303,33,1733,1619,3
POA4130,8532,40,2008,2021,3
POA4131,10439,31,1600,1320,2.9
POA4132,26215,28,1517,1336,3.3
POA4133,17769,33,1733,1334,2.8
POA4151,16282,34,2000,1789,2.3
POA4152,44684,37,2167,1959,2.7
POA4153,4374,38,2058,2094,2.9
POA4154,10974,34,2444,2486,3.2
POA4155,1442,43,2817,2476,3.3
POA4156,3146,39,2275,2514,3.3
POA4157,19035,38,1872,1520,2.7
POA4158,3761,40,1777,1299,2.3
POA4159,14497,41,1961,1673,2.8
POA4160,18139,43,2000,1834,2.7
POA4161,16254,37,1820,1591,2.8
POA4163,14801,49,1950,1275,2.3
POA4164,14694,39,2167,1936,3
POA4165,36815,40,2100,1687,2.8
POA4169,13995,33,2000,1802,2.1
POA4170,24514,33,2258,2065,2.5
POA4171,15721,36,2600,2392,2.5
POA4172,4303,34,2167,2030,2.8
POA4173,8290,37,1863,1643,2.6
POA4174,2385,35,1904,1669,2.7
POA4178,25208,40,2000,1467,2.5
POA4179,19291,41,2050,1709,2.6
POA4183,2102,49,1733,1013,2.1
POA4184,6906,57,975,707,1.9
POA4205,5385,47,1517,949,2.3
POA4207,55215,35,1673,1272,2.7
POA4208,19965,33,2043,1831,3.1
POA4209,50073,29,2000,1705,3.2
POA4210,19475,35,2000,1745,3
POA4211,60801,37,1863,1459,2.7
POA4212,28053,44,2037,1688,2.6
POA4213,29042,40,2000,1669,3
POA4214,37238,39,1820,1449,2.8
POA4215,50166,38,1560,1034,2.1
POA4216,37435,47,1842,1180,2.2
POA4217,40836,40,1950,1275,2.2
POA4218,31864,40,1950,1399,2.3
POA4220,31233,40,1900,1393,2.4
POA4221,26802,41,1932,1308,2.4
POA4222,0,0,0,0,0
POA4223,13892,43,1950,1392,2.6
POA4224,6588,41,1733,1288,2.3
POA4225,7754,49,1625,1039,1.9
